thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,hailfinder,p1,0.00000000001,1.000000,0.1,0.000000,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.900000,-10000.000000
0.35,hailfinder,p1,0.00000000001,1.000000,0.1,0.000000,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.900000,-10000.000000
0.4,hailfinder,p1,0.00000000001,1.000000,0.149968889,0.049969,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.850031,-10000.000000
0.45,hailfinder,p1,0.00000000001,1.000000,0.4914035316,0.391404,3,0.126000,0.154000,10000,9999.900000,10000,-9999.508596,-9999.846000
0.5,hailfinder,p1,0.00000000001,1.000000,0.8328381742,0.732838,4,0.121000,0.161000,10000,9999.900000,10000,-9999.167162,-9999.839000
0.55,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.013000,0.080000,10000,9999.900000,10000,0.0000001,-9999.920000
0.6,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.014000,0.085000,10000,9999.900000,10000,0.0000001,-9999.915000
0.65,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.7,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.75,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.019000,0.103000,10000,9999.900000,10000,0.0000001,-9999.897000
0.8,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.85,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.013000,0.080000,10000,9999.900000,10000,0.0000001,-9999.920000
0.9,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.013000,0.080000,10000,9999.900000,10000,0.0000001,-9999.920000
0.95,hailfinder,p1,0.00000000001,1.000000,10000,9999.900000,6,0.013000,0.081000,10000,9999.900000,10000,0.0000001,-9999.919000
